iter,C0,C1,C2,C3,estabilidad
0,-0.25244541479452703,-0.10396120885239805,0.06972420330616073,0.1564236435090634,0.9349037869096346
1,-0.1785877817264266,-0.029250930172639692,0.022005857990503887,0.08072897679876281,0.9725050232571494
2,-0.12633858217597238,-0.00823015551097939,0.006945332652591749,0.04166357175152726,0.9875265681843733
3,-0.08937586430568797,-0.002315668573106158,0.0021920365784407485,0.021502232282984448,0.9940455247859773
4,-0.06322728166493506,-0.0006515455185892827,0.0006918350209516834,0.011097128107708873,0.9970628315934255
5,-0.04472895650064909,-0.00018332138187821594,0.000218352057133865,0.005727138030052476,0.9985223851470173
6,-0.03164266273915278,-5.158001719742237e-05,6.89147259255619e-05,0.002955729599308493,0.9992481725958735
7,-0.022385009254781922,-1.4512754305189612e-05,2.1750376487104493e-05,0.0015254281315354111,0.9996150147785399
8,-0.015835855644242433,-4.083365011621691e-06,6.864699394462994e-06,0.000787261116518917,0.9998021638796174
9,-0.011202779553540461,-1.1489114655633499e-06,2.166587682023796e-06,0.0004062990925431378,0.9998981379989978
10,-0.007925196626230554,-3.2326219966769345e-07,6.838030209572565e-07,0.00020968767431486706,0.9999474972658714
11,-0.0056065319561310525,-9.095431011540703e-08,2.1581705432456832e-07,0.00010821811214089648,0.9999729227333872
12,-0.003966236051618217,-2.559125854205588e-08,6.81146463379622e-08,5.585049208831494e-05,0.9999860309791633
13,-0.0028058394280537926,-7.2004560634384976e-09,2.149786104840511e-08,2.882398708310243e-05,0.9999927922031152
14,-0.001984938564816174,-2.025948330610829e-09,6.785002264615152e-09,1.487582652007968e-05,0.9999962805368829
15,-0.0014042076202583598,-5.700287040352778e-10,2.141434239768151e-09,7.677293707407797e-06,0.999998080534066
16,-0.0009933803875558512,-1.603854938028801e-10,6.758642701074329e-10,3.96218916577468e-06,0.9999990094126122
17,-0.000702748354405776,-4.512668649893412e-11,2.1331148214820223e-10,2.044853770572095e-06,0.9999994887752757
18,-0.0004971461645574917,-1.2697020073872257e-11,6.732385543776416e-11,1.0553324861775925e-06,0.9999997361637042
19,-0.0003516967451929664,-3.572482964379024e-12,2.1248277239271745e-11,5.446485574712698e-07,0.9999998638369675
20,-0.0002488012769633312,-1.0051677052193612e-12,6.7062303948757304e-12,2.8108871378533097e-07,0.9999999297275702
21,-0.0001760098046532113,-2.8281789603763154e-13,2.1165728215383777e-12,1.4506761090918621e-07,0.9999999637330266
22,-0.0001245148405674277,-7.957474350182884e-14,6.680176858072208e-13,7.48682202550862e-08,0.999999981282925
23,-8.808569245377585e-05,-2.2389459408676532e-14,2.10834998923822e-13,3.863888271843839e-08,0.9999999903402738
24,-6.23145737464078e-05,-6.299585403014879e-15,6.654224538605402e-14,1.9941214745622485e-08,0.9999999950146947
25,-4.408327837388812e-05,-1.7724758568533904e-15,2.1001591024352114e-14,1.0291499586795064e-08,0.9999999974271246
26,-3.118588983851852e-05,-4.98710702711421e-16,6.628373043248499e-15,5.3113596687109306e-09,0.9999999986721599
27,-2.2061873819173338e-05,-1.4031918349536732e-16,2.092000037021897e-15,2.7411497510630806e-09,0.9999999993147125
28,-1.560725953094202e-05,-3.9480751364985003e-17,6.602621980302361e-16,1.4146852080113068e-09,0.9999999996463287
29,-1.1041063513584528e-05,-1.1108457799679452e-17,2.083872669372977e-16,7.301075897038574e-10,0.9999999998174731
30,-7.810793641851461e-06,-3.1255189027810467e-18,6.576970959589594e-17,3.768026197803546e-10,0.9999999999057994
31,-5.525599706996028e-06,-8.794081579824277e-19,2.0757768763434315e-17,1.944647833765538e-10,0.9999999999513838
32,-3.908982047401429e-06,-2.4743370057302223e-19,6.55141959244863e-18,1.0036170129532003e-10,0.9999999999749096
33,-2.7653361548358814e-06,-6.96189086074903e-20,2.0677125352666564e-18,5.179586201675968e-11,0.999999999987051
34,-1.956285282590654e-06,-1.958824697069795e-20,6.525967491727843e-19,2.6731425308991954e-11,0.9999999999933171
35,-1.3839373922726312e-06,-5.511425373648779e-21,2.0596795239526047e-19,1.3795872319279117e-11,0.999999999996551
36,-9.790405943217113e-07,-1.5507160847389124e-21,6.500614271779684e-20,7.119938082232735e-12,0.99999999999822
37,-6.926039361909113e-07,-4.363155104966907e-22,2.0516777206859345e-20,3.674542437159702e-12,0.9999999999990814
38,-4.899696858427866e-07,-1.2276342947202993e-22,6.4753595484548296e-21,1.896401621269914e-12,0.9999999999995259
39,-3.4661987970381e-07,-3.454119611420134e-23,2.0437070042241647e-21,9.787175330420208e-13,0.9999999999997553
40,-2.452097435359174e-07,-9.718645317509225e-24,6.450202939096372e-22,5.051082000459455e-13,0.9999999999998738
41,-1.7346904158044883e-07,-2.7344758558812838e-24,2.035767253795838e-22,2.606822552372737e-13,0.9999999999999348
42,-1.2271742530668155e-07,-7.693827649956917e-25,6.425144062534012e-23,1.3453600276022005e-13,0.9999999999999664
43,-8.681414468366028e-08,-2.1647652796028745e-25,2.0278583490986925e-23,6.943294250014573e-14,0.9999999999999827
44,-6.141504108581679e-08,-6.09086780856126e-26,6.4001825390782915e-24,3.583377984568759e-14,0.999999999999991
45,-4.344692083665111e-08,-1.7137502624845122e-26,2.0199801702978357e-24,1.8493523848949815e-14,0.9999999999999953
46,-3.073571061441754e-08,-4.821874410141692e-27,6.375317990514832e-25,9.544358028220536e-15,0.9999999999999977
47,-2.174340295656348e-08,-1.3567013430225172e-27,2.0121325980239315e-25,4.925765955417456e-15,0.9999999999999988
48,-1.5381963282466727e-08,-3.817267679738291e-28,6.350550040098611e-26,2.5421479554527254e-15,0.9999999999999993
49,-1.088168190121008e-08,-1.0740412850415165e-28,2.004315513371391e-26,1.3119819914108723e-15,0.9999999999999997
50,-7.698042104553382e-09,-3.02196434401666e-29,6.325878312548251e-27,6.771032905832172e-16,0.9999999999999998
51,-5.445835743175581e-09,-8.502716444605794e-30,1.9965287978965703e-27,3.49447529859457e-16,0.9999999999999999
52,-3.852554524754623e-09,-2.392357377760352e-30,6.301302434040332e-28,1.8034704279711093e-16,1.0
53,-2.7254175605290173e-09,-6.731229790163533e-31,1.9887723336159758e-28,9.307564960823757e-17,1.0
54,-1.9280456205128045e-09,-1.8939250008877125e-31,6.27682203220373e-29,4.8035589692154315e-17,1.0
55,-1.3639597721154504e-09,-5.328821063617824e-32,1.9810460030044774e-29,2.4790779186447776e-17,1.0
56,-9.649078010168776e-10,-1.4993378256661264e-32,6.252436736113972e-30,1.2794320557109607e-17,1.0
57,-6.826059562000184e-10,-4.218595236423672e-33,1.9733496889935264e-30,6.603045321284755e-18,1.0
58,-4.828968021076153e-10,-1.1869603677123159e-33,6.2281461762876185e-31,3.4077782653892105e-18,1.0
59,-3.4161630054313777e-10,-3.3396778680149805e-34,1.965683274969383e-31,1.758726790595398e-18,1.0
60,-2.4167005514932367e-10,-9.396647576031243e-35,6.203949984676664e-32,9.076646668514144e-19,1.0
61,-1.7096495531103058e-10,-2.643877318641373e-35,1.958046644771349e-32,4.684383906903368e-19,1.0
62,-1.209459563636984e-10,-7.438916080939816e-36,6.179847794662959e-33,2.4175726332252863e-19,1.0
63,-8.556095215020857e-11,-2.0930423688381135e-36,1.9504396826900074e-33,1.2476896755423021e-19,1.0
64,-6.052849349370694e-11,-5.889065436530638e-37,6.155839241052656e-34,6.4392254654952e-20,1.0
65,-4.281974934296932e-11,-1.6569703619994994e-37,1.9428622734654684e-34,3.323232163274888e-20,1.0
66,-3.02920298848236e-11,-4.6621162731759513e-38,6.131923960070678e-35,1.71509323135269e-20,1.0
67,-2.1429529332210123e-11,-1.3117511720839452e-38,1.9353143022856256e-35,8.85145739963307e-21,1.0
68,-1.515991926411399e-11,-3.690794130047352e-39,6.108101589355205e-36,4.568165547229517e-21,1.0
69,-1.0724601018138733e-11,-1.0384561950686983e-39,1.927795654784414e-36,2.3575932781148362e-21,1.0
70,-7.58691817512027e-12,-2.9218407504693925e-40,6.084371767952184e-37,1.2167348156599102e-21,1.0
71,-5.367223200062701e-12,-8.221004806600218e-41,1.920306217040078e-37,6.279469938185175e-22,1.0
72,-3.796941553127354e-12,-2.313093895322201e-41,6.060734136309856e-38,3.2407836282045626e-22,1.0
73,-2.6860752050886837e-12,-6.50821097231481e-42,1.912845875573445e-38,1.6725422094900733e-22,1.0
74,-1.9002136078311698e-12,-1.8311755586670127e-42,6.037188336273315e-39,8.631855018583058e-23,1.0
75,-1.3442705358905004e-12,-5.152266791785937e-43,1.905414517346206e-39,4.4548305351620337e-23,1.0
76,-9.509790195249918e-13,-1.4496618288780546e-43,6.0137340110790786e-40,2.2991019953750038e-23,1.0
77,-6.727523005461312e-13,-4.078824919269396e-44,1.8980120297592037e-40,1.1865479378880712e-23,1.0
78,-4.759260179222259e-13,-1.1476340475163658e-44,5.990370805349678e-41,6.1236779044106475e-24,1.0
79,-3.3668494979717305e-13,-3.2290278035633614e-45,1.8906383006507252e-41,3.160380620079469e-24,1.0
80,-2.381814634022578e-13,-9.085318249968128e-46,5.96709836508828e-42,1.6310468675336298e-24,1.0
81,-1.68497016402476e-13,-2.5562804882669142e-46,1.883293218294803e-42,8.417700916114247e-25,1.0
82,-1.1920005919430897e-13,-7.192450231137536e-47,5.943916337673317e-43,4.344307335588544e-25,1.0
83,-8.432584988916143e-14,-2.0236957784887989e-47,1.875976671399522e-43,2.2420618663130804e-25,1.0
84,-5.965474352607439e-14,-5.693949172069111e-48,5.920824371853151e-44,1.1571099887881856e-25,1.0
85,-4.220163128909205e-14,-1.6020716907517117e-48,1.8686885491053338e-44,5.971751030916608e-26,1.0
86,-2.9854753841696237e-14,-4.507651235979272e-49,5.897822117740746e-45,3.0819723899023076e-26,1.0
87,-2.112018658337158e-14,-1.2682902882886326e-49,1.8614287409833764e-45,1.5905810143364606e-26,1.0
88,-1.4941080528804832e-14,-3.568510896601806e-50,5.8749092268083684e-46,8.208859921836606e-27,1.0
89,-1.056978765253853e-14,-1.0040501087766595e-50,1.8541971370338013e-46,4.236526188164412e-27,1.0
90,-7.477398358463485e-15,-2.8250344475462393e-51,5.852085351882306e-47,2.1864368881796267e-27,1.0
